"","n_Hosp","HospPCT","Overall_10y_Cost"
"1",1,8,16423253.0233128
"2",2,15,32846506.0466256
"3",3,21,49269759.0699384
"4",4,27,65693012.0932512
"5",5,33,82116265.116564
"6",6,38,98539518.1398768
"7",7,43,114962771.16319
"8",8,48,131386024.186502
"9",9,52,147809277.209815
"10",10,56,164232530.233128
"11",11,60,180655783.256441
"12",12,65,197079036.279754
"13",13,68,213502289.303066
"14",14,72,229925542.326379
"15",15,76,246348795.349692
"16",16,79,262772048.373005
"17",17,82,279195301.396318
"18",18,84,295618554.41963
"19",19,87,312041807.442943
"20",20,89,328465060.466256
"21",21,91,344888313.489569
"22",22,93,361311566.512882
"23",23,95,377734819.536194
"24",24,96,394158072.559507
"25",25,98,410581325.58282
"26",26,99,427004578.606133
"27",27,100,443427831.629445
