Hospital,Visitors 2019,Visitors 2020,Visitors 2021
Soroka,208100,177000,207100
Sheba,175600,"153,200",186400
Sourasky,17500,"143,300",171000
Meir,149900,"125,100",157700
Hadassa (Ein Kerem + Mt. Scopus),142000,"123,200",148700
Rambam,132900,"111,800",136600
Rabin (Beilinson + Hasharonּ),142200,115400,135200
Shamir,131400,108100,127300
Shaare Zedek,126900,103300,122300
HaEmek,112900,96700,113800
Hillel Yaffe,111800,91500,108100
Galilee,113300,89600,107700
Kaplan,103500,85800,103200
Wolfson,110500,86000,100900
Barzilai,95600,83000,96300
Assuta Ashdod,72200,67400,81000
Poria,71100,62300,75400
Ziv (Safed),69300,58800,70800
Carmel,70400,59600,70100
Laniado,67100,55900,67800
Schneider,53800,40000,54300
EMMS Nazareth,48000,42600,48200
Bnai Zion,46600,39200,42600
Yoseftal,41400,32400,40100
The Holy Family (Nazareth),35400,31600,34900
Mayanei Hayeshua,36100,29800,34400
"French Hospital, or St. Vincent de Paul",26800,22300,28200
