"","Case","Scen_8_1_a","Scen_15_1_a","Scen_38_1_a","Scen_56_1_a","Scen_79_1_a","Scen_8_3_a","Scen_15_3_a","Scen_38_3_a","Scen_56_3_a","Scen_79_3_a","Scen_8_5_a","Scen_15_5_a","Scen_38_5_a","Scen_56_5_a","Scen_79_5_a","Cases_continuous"
"1","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","1",0.009,0.014,0.038,0.068,0.103,0,0,0,0,0,0,0,0,0,0,1
"12","1",0.012,0.018,0.054,0.062,0.098,0,0,0,0,0,0,0,0,0,0,1
"13","1",0.011,0.026,0.036,0.07,0.092,0,0,0,0,0,0,0,0,0,0,1
"14","1",0.012,0.017,0.049,0.081,0.097,0,0,0,0,0,0,0,0,0,0,1
"15","1",0.01,0.015,0.043,0.07,0.091,0,0,0,0,0,0,0,0,0,0,1
"16","1",0.006,0.015,0.047,0.075,0.09,0,0,0,0,0,0,0,0,0,0,1
"17","1",0.007,0.023,0.047,0.062,0.103,0,0,0,0,0,0,0,0,0,0,1
"18","1",0.01,0.015,0.057,0.067,0.094,0,0,0,0,0,0,0,0,0,0,1
"19","1",0.012,0.016,0.053,0.057,0.101,0,0,0,0,0,0,0,0,0,0,1
"20","1",0.01,0.017,0.054,0.064,0.095,0,0,0,0,0,0,0,0,0,0,1
"21","2",0.03,0.047,0.093,0.143,0.185,0,0,0,0,0,0,0,0,0,0,2
"22","2",0.023,0.04,0.092,0.107,0.17,0,0,0,0,0,0,0,0,0,0,2
"23","2",0.021,0.046,0.096,0.131,0.169,0,0,0,0,0,0,0,0,0,0,2
"24","2",0.012,0.034,0.087,0.146,0.195,0,0,0,0,0,0,0,0,0,0,2
"25","2",0.025,0.037,0.089,0.132,0.192,0,0,0,0,0,0,0,0,0,0,2
"26","2",0.017,0.032,0.092,0.12,0.186,0,0,0,0,0,0,0,0,0,0,2
"27","2",0.019,0.04,0.09,0.131,0.17,0,0,0,0,0,0,0,0,0,0,2
"28","2",0.018,0.035,0.088,0.134,0.172,0,0,0,0,0,0,0,0,0,0,2
"29","2",0.023,0.038,0.085,0.134,0.195,0,0,0,0,0,0,0,0,0,0,2
"30","2",0.016,0.027,0.069,0.157,0.198,0,0,0,0,0,0,0,0,0,0,2
"31","3",0.031,0.054,0.16,0.212,0.28,0,0,0,0,0,0,0,0,0,0,3
"32","3",0.027,0.058,0.155,0.203,0.31,0,0,0,0,0,0,0,0,0,0,3
"33","3",0.037,0.051,0.132,0.214,0.266,0,0,0,0.001,0,0,0,0,0,0,3
"34","3",0.023,0.058,0.135,0.208,0.266,0,0,0,0,0.001,0,0,0,0,0,3
"35","3",0.023,0.056,0.141,0.194,0.29,0,0,0,0.001,0.003,0,0,0,0,0,3
"36","3",0.025,0.048,0.128,0.187,0.264,0,0,0,0,0,0,0,0,0,0,3
"37","3",0.032,0.047,0.142,0.195,0.287,0,0,0,0,0.002,0,0,0,0,0,3
"38","3",0.042,0.045,0.116,0.194,0.274,0,0,0.001,0,0,0,0,0,0,0,3
"39","3",0.026,0.058,0.137,0.192,0.272,0,0,0,0,0,0,0,0,0,0,3
"40","3",0.032,0.05,0.142,0.204,0.275,0,0,0.001,0.001,0.003,0,0,0,0,0,3
"41","4",0.036,0.064,0.181,0.273,0.349,0,0,0,0.002,0.004,0,0,0,0,0,4
"42","4",0.043,0.059,0.196,0.247,0.336,0,0,0.001,0.002,0.005,0,0,0,0,0,4
"43","4",0.04,0.07,0.161,0.246,0.358,0,0,0,0,0.003,0,0,0,0,0,4
"44","4",0.026,0.084,0.167,0.277,0.335,0,0,0,0,0.003,0,0,0,0,0,4
"45","4",0.044,0.064,0.186,0.231,0.349,0,0,0,0.001,0.004,0,0,0,0,0,4
"46","4",0.053,0.068,0.177,0.232,0.316,0,0,0,0,0.007,0,0,0,0,0,4
"47","4",0.039,0.06,0.185,0.222,0.34,0,0,0.001,0.002,0.004,0,0,0,0,0,4
"48","4",0.035,0.073,0.175,0.262,0.324,0,0,0.001,0,0,0,0,0,0,0,4
"49","4",0.042,0.069,0.151,0.263,0.341,0,0,0,0.002,0.002,0,0,0,0,0,4
"50","4",0.029,0.07,0.189,0.273,0.333,0,0,0.001,0.003,0.004,0,0,0,0,0,4
"51","5",0.052,0.106,0.217,0.274,0.393,0,0,0.002,0.001,0.009,0,0,0,0,0,5
"52","5",0.051,0.091,0.233,0.306,0.404,0,0,0.002,0.001,0.009,0,0,0,0,0,5
"53","5",0.041,0.092,0.223,0.301,0.392,0,0,0.002,0.001,0.01,0,0,0,0,0,5
"54","5",0.04,0.073,0.206,0.283,0.384,0,0,0.003,0.004,0.005,0,0,0,0,0,5
"55","5",0.052,0.091,0.236,0.313,0.404,0,0,0.001,0.005,0.011,0,0,0,0,0,5
"56","5",0.041,0.094,0.242,0.311,0.386,0,0,0.002,0.002,0.008,0,0,0,0,0,5
"57","5",0.049,0.093,0.212,0.292,0.454,0,0,0,0.004,0.018,0,0,0,0,0,5
"58","5",0.041,0.088,0.225,0.312,0.411,0,0.001,0.001,0.001,0.006,0,0,0,0,0,5
"59","5",0.048,0.093,0.227,0.316,0.404,0,0,0.001,0.004,0.009,0,0,0,0,0,5
"60","5",0.037,0.088,0.256,0.316,0.374,0,0,0.003,0.007,0.009,0,0,0,0,0,5
"61","6",0.064,0.112,0.269,0.339,0.471,0,0,0.002,0.004,0.016,0,0,0,0,0,6
"62","6",0.058,0.095,0.244,0.368,0.456,0,0,0.001,0.005,0.015,0,0,0,0,0,6
"63","6",0.053,0.108,0.274,0.355,0.459,0,0,0.002,0.004,0.014,0,0,0,0,0,6
"64","6",0.055,0.111,0.258,0.356,0.48,0,0,0,0.01,0.017,0,0,0,0,0,6
"65","6",0.062,0.103,0.249,0.351,0.466,0,0,0.006,0.004,0.017,0,0,0,0,0,6
"66","6",0.052,0.097,0.256,0.358,0.443,0,0,0,0.003,0.015,0,0,0,0,0,6
"67","6",0.055,0.103,0.262,0.36,0.471,0,0,0.002,0.01,0.008,0,0,0,0,0,6
"68","6",0.046,0.107,0.243,0.34,0.468,0,0,0.001,0.005,0.018,0,0,0,0,0,6
"69","6",0.046,0.105,0.221,0.345,0.438,0,0,0.003,0.007,0.008,0,0,0,0,0.001,6
"70","6",0.063,0.112,0.24,0.347,0.451,0,0,0,0.005,0.014,0,0,0,0,0,6
"71","7",0.068,0.118,0.284,0.392,0.542,0,0.001,0.002,0.008,0.032,0,0,0,0,0.001,7
"72","7",0.076,0.136,0.268,0.418,0.531,0,0,0.002,0.012,0.026,0,0,0,0,0,7
